semana,sentimiento,semana_num
2015-09-14/2015-09-20,0.3770833333333333,0
2015-09-28/2015-10-04,0.2507307409938989,1
2015-10-05/2015-10-11,0.24270833333333336,2
2015-10-12/2015-10-18,0.37962116131294354,3
2015-10-19/2015-10-25,0.40140980887304417,4
2015-10-26/2015-11-01,0.42350000000000004,5
2015-11-02/2015-11-08,0.42846153520854474,6
2015-11-09/2015-11-15,0.41996317545693407,7
2015-11-16/2015-11-22,0.37763681918114217,8
2015-11-23/2015-11-29,0.4123717405668703,9
2015-11-30/2015-12-06,0.3782557349937813,10
2015-12-07/2015-12-13,0.3682850570992938,11
2015-12-14/2015-12-20,0.36009126275646974,12
2015-12-21/2015-12-27,0.35005840255840254,13
2015-12-28/2016-01-03,0.3793420179206309,14
2016-01-04/2016-01-10,0.3817638341624751,15
2016-01-11/2016-01-17,0.3856709800025755,16
2016-01-18/2016-01-24,0.4208693009790571,17
2016-01-25/2016-01-31,0.3944551826890842,18
2016-02-01/2016-02-07,0.35903264579799665,19
2016-02-08/2016-02-14,0.3441289862338495,20
2016-02-15/2016-02-21,0.4066184128371628,21
2016-02-22/2016-02-28,0.42178579806653577,22
2016-02-29/2016-03-06,0.34898250714427187,23
2016-03-07/2016-03-13,0.42586859956845835,24
2016-03-14/2016-03-20,0.3617098434817413,25
2016-03-21/2016-03-27,0.4234844665715878,26
2016-03-28/2016-04-03,0.3725145405763827,27
2016-04-04/2016-04-10,0.37252440163775946,28
2016-04-11/2016-04-17,0.39890180409138054,29
2016-04-18/2016-04-24,0.37753341814270386,30
2016-04-25/2016-05-01,0.32331727994228,31
2016-05-02/2016-05-08,0.412102039483505,32
2016-05-09/2016-05-15,0.3786799016102295,33
2016-05-16/2016-05-22,0.33847294434220077,34
2016-05-23/2016-05-29,0.3569560185185185,35
2016-05-30/2016-06-05,0.3503650124709299,36
2016-06-06/2016-06-12,0.41633172214481784,37
2016-06-13/2016-06-19,0.39553959643705966,38
2016-06-20/2016-06-26,0.4038351886481836,39
2016-06-27/2016-07-03,0.34832673109894363,40
2016-07-04/2016-07-10,0.40755948864555425,41
2016-07-11/2016-07-17,0.38159002709106016,42
2016-07-18/2016-07-24,0.3851547584690442,43
2016-07-25/2016-07-31,0.42200372292960353,44
2016-08-01/2016-08-07,0.3751075301332654,45
2016-08-08/2016-08-14,0.3473514924742094,46
2016-08-15/2016-08-21,0.39084102572239143,47
2016-08-22/2016-08-28,0.39388569325095296,48
2016-08-29/2016-09-04,0.3744037359612757,49
2016-09-05/2016-09-11,0.39721408185640195,50
2016-09-12/2016-09-18,0.3858697787827252,51
2016-09-19/2016-09-25,0.36546705974114235,52
2016-09-26/2016-10-02,0.33255216922627634,53
2016-10-03/2016-10-09,0.3552263777888778,54
2016-10-10/2016-10-16,0.41093776268333526,55
2016-10-17/2016-10-23,0.39807399801093357,56
2016-10-24/2016-10-30,0.3938342206334631,57
2016-10-31/2016-11-06,0.4123843135279824,58
2016-11-07/2016-11-13,0.38878083051402385,59
2016-11-14/2016-11-20,0.39304135208269025,60
2016-11-21/2016-11-27,0.37402188701139205,61
2016-11-28/2016-12-04,0.39070936199376566,62
2016-12-05/2016-12-11,0.4175303652076524,63
2016-12-12/2016-12-18,0.39246935317655124,64
2016-12-19/2016-12-25,0.41038269328059507,65
2016-12-26/2017-01-01,0.4027940190794811,66
2017-01-02/2017-01-08,0.3656401065867665,67
2017-01-09/2017-01-15,0.3995022709152407,68
2017-01-16/2017-01-22,0.37576446167969785,69
2017-01-23/2017-01-29,0.39899353706264373,70
2017-01-30/2017-02-05,0.39775248652568523,71
2017-02-06/2017-02-12,0.3526785714285714,72
2017-02-13/2017-02-19,0.3907491286100441,73
2017-02-20/2017-02-26,0.33890247521295913,74
2017-02-27/2017-03-05,0.3953471877731809,75
2017-03-06/2017-03-12,0.3333981590799773,76
2017-03-13/2017-03-19,0.372763158458703,77
2017-03-20/2017-03-26,0.39345134749844896,78
2017-03-27/2017-04-02,0.34574493272930773,79
2017-04-03/2017-04-09,0.33668226119118977,80
2017-04-10/2017-04-16,0.4223585858585859,81
2017-04-17/2017-04-23,0.37872034372034374,82
2017-04-24/2017-04-30,0.32749375128839414,83
2017-05-01/2017-05-07,0.2989583333333333,84
2017-05-08/2017-05-14,0.47015026294205625,85
2017-05-15/2017-05-21,0.3874153339504628,86
2017-05-22/2017-05-28,0.35967806062250507,87
2017-05-29/2017-06-04,0.3601331131693326,88
2017-06-05/2017-06-11,0.35141515327490935,89
2017-06-12/2017-06-18,0.3461265861166104,90
2017-06-19/2017-06-25,0.4047503290023843,91
2017-06-26/2017-07-02,0.3647172771049176,92
2017-07-03/2017-07-09,0.3780464419440713,93
2017-07-10/2017-07-16,0.34524124106713394,94
2017-07-17/2017-07-23,0.3825925412833164,95
2017-07-24/2017-07-30,0.36891504926993174,96
2017-07-31/2017-08-06,0.34845986513910504,97
2017-08-07/2017-08-13,0.40988822981177103,98
2017-08-14/2017-08-20,0.39009457557760024,99
2017-08-21/2017-08-27,0.37712948877436625,100
